person_id,n_test_samples,epoch_1_mae_degrees,epoch_2_mae_degrees,epoch_3_mae_degrees,epoch_4_mae_degrees,epoch_5_mae_degrees,final_mae_degrees
p00,29961,4.666733264923096,4.4050140380859375,4.044934272766113,3.973878860473633,4.117783069610596,4.117783069610596
p01,24143,7.3479437828063965,6.832571029663086,7.029408931732178,7.282536506652832,6.116460800170898,6.116460800170898
p02,28019,6.452826023101807,5.614698886871338,5.289544582366943,5.994385719299316,5.614509582519531,5.614509582519531
p03,35075,6.426387310028076,6.420222759246826,6.165725231170654,6.202967643737793,5.9432244300842285,5.9432244300842285
p04,16831,8.738253593444824,8.022299766540527,7.825100421905518,8.440422058105469,7.775676727294922,7.775676727294922
p05,16577,6.110652923583984,5.940417289733887,6.883175849914551,6.9714484214782715,6.948907852172852,6.948907852172852
p06,18448,6.390483856201172,6.956064224243164,6.6967363357543945,6.888600826263428,6.656988143920898,6.656988143920898
p07,15509,8.482908248901367,7.085550308227539,6.839231014251709,8.876626014709473,7.207387447357178,7.207387447357178
p08,10701,6.854319095611572,6.48867130279541,6.160706520080566,6.606743812561035,6.473188877105713,6.473188877105713
p09,7995,6.409517765045166,6.2585296630859375,6.140594959259033,6.040991306304932,6.1899285316467285,6.1899285316467285
p10,2810,6.086429119110107,5.671871185302734,5.124104022979736,5.2843828201293945,5.083841800689697,5.083841800689697
p11,2982,7.872665882110596,6.823657989501953,6.415419578552246,6.246506214141846,5.981645584106445,5.981645584106445
p12,1609,6.754297256469727,6.515320301055908,6.91414737701416,6.645402908325195,6.879928112030029,6.879928112030029
p13,1498,6.755000114440918,6.997884750366211,6.472711086273193,6.858226776123047,6.515188694000244,6.515188694000244
p14,1500,9.220703125,9.112263679504395,9.134481430053711,8.87648868560791,7.714903831481934,7.714903831481934
